Graph,Category,w/ both, w/o local search,w/o sampling,plain
LJ,Social,1.342284095,1.029554286,1.361234383,1
OK,Social,0.926310402,1.02696004,0.954338651,1
WB,Social,1.001772703,0.990158159,1.025836613,1
TW,Social,2.4913171,2.470488848,1.005438633,1
FS,Social,1.048859315,1.049536,1.042748959,1
EH,Web,1.550278328,1.236355972,1.227294602,1
SD,Web,1.130657091,1.134265037,0.999317296,1
CW,Web,5.776522288,4.313041361,1.050080441,1
HL14,Web,2.15730326,1.81810325,1.141719574,1
HL12,Web,1.447452919,1.134723265,1.209751607,1
AF,Road,1.8932817,1.021472574,1.906329343,1
NA,Road,1.735944623,1.016051916,1.716335215,1
AS,Road,1.704090813,1.002227851,1.736351947,1
EU,Road,1.629716321,1.006766035,1.662958852,1
CH5,k-NN,1.937062179,0.977689726,2.113038832,1
GL2,k-NN,1.721798072,0.999433349,1.765436879,1
GL5,k-NN,2.02739748,1.028778297,2.105476335,1
GL10,k-NN,1.980370437,1.003669506,2.084428696,1
COS5,k-NN,1.796157015,1.00764494,1.815379717,1
TRCE,Others,7.94489317,0.955832041,7.745409164,1
BBL,Others,7.960860627,1.017138298,7.55176711,1
GRID,Others,31.44276082,0.994251442,31.19940985,1
CUBE,Others,2.385471978,1.019782597,2.330631471,1
HCNS,Others,0.773524689,0.803522832,1.030292396,1
HPL,Others,1.42676175,1.44567198,1.002981633,1
