Graph,Category,speedup GBBS,speedup ParK,speedup PKC,speedup Ours,Seq, maxCore
LJ,Social,2.367670365,2.345368917,2.884169884,7.362325983,1,372
TW,Social,12.78643006,0.071466744,0.810145503,22.53874093,1,2488
FS,Social,20.37464887,0.302681082,3.80408852,34.25465877,1,304
SD,Web,21.37724085,0.342035854,2.438864348,31.95329411,1,10507
CW,Web,46.1115465,NA,NA,85.80632805,1,4244
HL14,Web,49.82269806,NA,NA,65.52804004,1,4160
AF,Road,19.6975089,15.24793388,21.87747036,35.60493001,1,3
AS,Road,22.51198872,18.17881549,24.33079268,33.2383725,1,4
CH5,k-NN,10.26190476,11.64864865,20.52380952,20.41460113,1,5
GL2,k-NN,41.66775449,44.89364516,61.57977876,64.08475544,1,2
COS5,k-NN,16.90928962,22.58686131,29.75384615,29.99176157,1,6
GRID,Others,0.419910946,0.773933001,1.936038006,22.05352023,1,2
HCNS,Others,1.4718125,0.473822938,NA,11.70654351,1,50000
HPL,Others,10.82506964,1.278355263,0.657563452,21.97741295,1,5000
